character,line
Walter,I don't understand. What exactly are you offering to do for me?
Saul,What did Tom Hagen do for Vito Corleone?
Walter,I'm no Vito Corleone.
Saul,"No shit! Right now, you're Fredo! But, y'know, with some sound advice and proper introductions, who knows? I'll tell you one thing: You've got the right product. Anything that gets the DEA's panties in this big a bunch, you're onto something special. And I would like to be a small and silent part of it. Food for thought, yeah? [he starts to head for the door, but stops] So if you want to make more money and, uh, keep the money that you make... [taps his foot and holds his arms out with flair, pointing to Walter] Better Call Saul!"
Saul,"Look, let's crunch some numbers. How much money are we laundering?"
Walter,"At this time...$16,000."
Saul,How long you been doing this?
Walter,We've had some extenuating circumstances.
Saul,"Yeah, apparently. All right, $16,000 laundered at 75 cents on the dollar, minus my fee, which is 17%, comes out to $9,960. Congratulations, you've just left your family a secondhand Subaru."
Walter,[to Jesse on the payphone] Clear your social calendar. We have to cook.
Jesse,What? Today?
Walter,"No, you'll need today at least to gather supplies. Now, we're going to need all new glassware, heating mantles, about a hundred pounds of ice. Y-you have a paper and pencil? You should be writing this down."
Jesse,"Yo, you wanna go shopping, go do it yourself, alright? I got plans."
Walter,"Smoking marijuana, eating Cheetos, and masturbating do not constitute plans in my book."
Jesse,"Well, screw you and your book, man, alright? I'm going to a museum in Santa Fe, not like you need to know."
Walter,"You're going to a museum, huh?"
Jesse,Yeah. Georgia O'Keeffe.
Walter,Georgia O'Keeffe?
Jesse,"She's a painter, duh. She does these vagina pictures. Or paintings, or just painted. I don't know."
Jesse,[after turning the keys several times] Battery’s dead.
Walter,"Jesse, back when I asked you to put the keys in a safe place, where did you put them?"
Jesse,"I left them right here. In the, um… in the ignition."
Walter,Son of a bitch!
Jesse,"Whoa, whoa. No, this is not my fault, alright? The buzzer didn’t buzz."
Walter,The what?!
Jesse,"The buzzer! The buzzer that buzzes when you put the keys in to, like, let you know that the battery’s on. I know that! It didn’t buzz. Look, I didn’t turn the key or anything, alright? I’m not stupid! Did you hear the buzzer buzz? I did not... It’s faulty, it’s a faulty mechanism."
Walter,Is this just a genetic thing with you? Is it congenital? Did you—Did your mother drop you on your head when you were a baby?!
Jesse,"The buzzer did not buzz! And you were the one that made me move the keys in the first place, remember?!"
Walter,"Yes, I see your point. Your imbecility being what it is, I should have known to say, ""Jesse, don’t leave the keys in the ignition the entire two days!"""
Jesse,"I wanted to leave them on the counter, bitch! Oh, I’m sorry, the ""work station!"" Jesus!"
Walter,I have this coming.
Jesse,What?
Walter,I have it coming. I deserve this.
Jesse,"Snap out of it. All right, first off, everything you did, you did for your family. Right?"
Walter,"All I ever managed to do was worry and disappoint them. And lie. Oh God, the lies...I can't even...can't even keep them straight in my head anymore..."
Jesse,You know what? Screw this. I'm walking. You can come or not. Where's my other shoe?
Walter,"Jesse...Jesse...Your body is running dangerously low on electrolytes. Sodium, potassium, calcium...and when they're gone, your brain ceases to communicate with the muscles. Your lungs stop breathing. Your heart stops pumping. You go marching out there, and within an hour, you will be dead."
Jesse,You need to cut out all your loser crybaby crap right now and think of something scientific!
Walter,"[laughs weakly] Something... something scientific, right..."
Jesse,"Like, come on! Man, you're smart! All right, you made poison out of beans, yo! Look, we've got an entire lab right here. How about you take some of these chemicals and mix up some... some rocket fuel, that way we could just send up a signal flare. Or you make some kind of robot to get us help... or a homing device... or building a battery... [Walt's eyes snap open] Or what if we just take some stuff off of the RV and build it into something completely different? You know, like a... like a dune buggy! And that way we could just dune buggy our... [Walt sits up] What? Hey... what is it? What?"
Walter,"Do you... do you have any money? Change, I mean, coins?"
Jesse,"Yeah, yeah, I got a bunch of 'em!"
Walter,Okay... [gets up]
Jesse,Yes!
Walter,"Gather them. And–and–and washers, and nuts and bolts and screws, and whatever little pieces of metal we can think of that is galvanized – it has to be galvanized – or–or solid zinc."
Jesse,[starts to head outside] Solid zinc...
Walter,And–and–and bring me... brake pads! The front wheels should have discs. Take them off and bring them to me.
Jesse,"All right, all right..."
Walter,[kicks a toolbox toward Jesse] Brake pads!
Jesse,What are we building?
Walter,You said it yourself.
Jesse,A robot?
Walter,...A battery.
Walter,"And now, what shall we use to conduct this beautiful current with, hm? What one particular element comes to mind, hm? [Walter holds up a copper wire] Hmm?"
Jesse,"Ooooh, wire."
Walter,...Copper.
Jesse,"Oh, I mean..."
Walter,It's copper.
Walter,The upshot is that I have radiation pneumonitis.
Jesse,Damn...
Walter,"Actually, it's not as bad as it sounds. It's a fairly common occurrence. Easily treated. In fact, the news is all good."
Jesse,"You mean, good? You mean, like, good good? You mean, like, remission good?"
Walter,"Remission. Not to imply I'm cured. I still have cancer, but there's been a significant reduction in the tumors."
Jesse,How significant?
Walter,Eighty percent.
Jesse,Dude! No way!
Walter,"I'm not out of the woods yet, not by any stretch...but ""options"" is the word they keep bandying about."
Jesse,"That's awesome! Serious? That's...that's...that's great, man! My aunt, she never...I mean, y'know, at your stage I didn't even think that could happen."
Walter,Eh.
Jesse,"Mr. White, you kicked its ass, yo! [Walter motions for Jesse to quiet down] No! You must be so psyched!"
Walter,Of course. I am.
Jesse,"Okay, now we...I mean, what do we...Oh! Hey, I almost forgot. [Jesse hands Walter a paper bag filled with money] So, how do you want to...y'know...proceed in light of this kickass news?"
Walter,"We'll take our time and stay cautious. Sell off what we have and then...well, then I guess I'm done."
Walter,"Um...well, it's kind of funny. When I got my diagnosis – cancer – I said to myself, y'know, ""Why me?"" And then, the other day when I got the good news, I said the same thing. [The party guests are silent with confusion] Anyway, uh, thank you for coming and...enjoy."
Hank,Wow. Inspirational.
Walter,Hey! Bring. The bottle. Back.
Hank,"Sorry, buddy. No can do."
Walter,My son! My bottle! My house!
Hank,[to other party guests] It's all right.
Walter,What are you waiting for? Bring it back!
Hank,"Why don't we just call it a day? All right, pal? We good?"
Walter,The bottle. Now.
Skyler,What's going on?
Jane,And this is?
Jesse,"That's Backwardo. Oh wait, no, actually I changed it to Rewindo. Anyways, he goes backwards. He can make everything go in reverse."
Jane,Time and stuff? Time traveling?
Jesse,"No, he just walks backwards."
Walter,Stay out of my territory.
Walter,God. This entire process has just been so... It's always been one step forward and two steps back. We need your help.
Saul,"Look, let's start with some tough love, alright? Ready for this? Here it goes: you two suck at peddling meth. Period."
Gus,What can I do for you?
Walter,Have a seat. Please. [Gus sits down across from Walt] I would like to know why you wouldn't meet with me yesterday.
Gus,"I'm sorry, I'm not following."
Walter,I sat here yesterday waiting to meet with someone. I believe that person was you.
Gus,I think that you're confusing me for someone else.
Walter,I don't think I am.
Gus,"Sir, if you have a complaint, I suggest you submit it through our e-mail system. I'd be happy to refer you to our website."
Walter,"I was told that the man I'd be meeting with was very careful. A cautious man. I believe we are alike in that way. If you are who I think you are, you should give me another chance."
s demeanor suddenly changes,"the open expression remains, but we are instantly made aware that this is a façade, and Gus's true self emerges.]."
Gus,"I don't think we're alike at all, Mr. White. You are not a cautious man at all. Your partner was late. And he was high."
Walter,"Yes. Yes, he was."
Gus,"He's high often, isn't he? [Walter does not answer] You have poor judgment. I can't work with someone with poor judgment."
Walter,Are you familiar with my product?
Gus,I've been told it's excellent.
Walter,"It is impeccable. It is the purest, most chemically sound product on the market, anywhere."
Gus,That is not the only factor.
Walter,"You could charge twice the current rate for what I provide and your customers would pay it, hands down. Now, who I choose to do business with on my end is not your problem. You won't see him, you won't interact with him. Forget he exists."
Gus,I have to ask why. Why him?
Walter,Because he does what I say. Because I can trust him.
Gus,How much product do you have left?
Walter,38 pounds. Ready to go at a moment's notice. [Gus gets up] Will I hear from you?
Gus,I have your numbers. [softly] You can never trust a drug addict.
Skinny Pete,"And you should've seen the coffin. It was like this shiny white pearlescence, like, I'm pretty sure I seen the exact same paint job on a Lexus, right? So we're definitely talking high end."
Jesse,What's it feel like?
Jane,"There's a chill. Don't freak out, it passes. And then...you'll see. [Jane kisses Jesse] I'll meet you there."
Victor,"38 pounds, $1.2 million, [deliver to the] truck stop, two miles south of Exit 13 on the 25. One hour."
Walter,W-What?
Victor,One hour. You in or out?
Walter,"In, in, absolutely, but I just need a little more time..."
Victor,"One hour. If you miss it, don't ever show your face in here again."
Jesse,How much?
Walter,How much what?
Jesse,How much did you get for the deal?
Walter,$1.2 million.
Jesse,"$600,000 each."
Walter,"$480,000. Saul's cut is 20%."
Walter,Ha!
Jesse,What?
Walter,"You are joking, right? If I gave you that money, you would be dead inside of a week."
Jesse,"Yo man, look, I'm off the heroin. I didn't even like it anyway, it made me sick. And the meth, y'know, I could take it or leave it. I'm clean, Mr. White. For real."
Walter,Prove it. Pee in that.
Jesse,"How gay are you, seriously?"
Walter,"Pee in it! They're selling testing kits at the drug stores. If you are clean, I will give you every last dime. [Jesse is silent] No, huh? Well, I guess until then, you'll just have to depend on the kindness of strangers to get high. That and your little junkie girlfriend."
Walter,"No, no, it cannot be blind luck or some imaginary relative who saves us. No, I earned that money. Me! And now my son created his own website – SaveWalterWhite.com. Soliciting anonymous donations! Do you have any idea how that makes me feel?!"
Saul,"Well, look at that. It's got PayPal and everything."
Walter,"Cyber-begging, that's all that is. Just rattling a little tin cup to the entire world."
Saul,"[sarcastically] Yeah, there's no deep-seated issues there. Walter, I'm looking at the answer right here. It's staring me in the face. Do I have to spell it out for you?"
Walter,"I know, I know. You're thinking that I should be funneling money into my son's website, but absolutely not. No. I am not going to have my family think that some mystery benefactor saved us!"
Saul,"Not some mystery benefactor, singular. That would raise too many questions. However—stay with me here... Zombies. [chuckles] I got a guy who knows this guy, who knows this Rain Man type. Right? He lives with his mother in her basement in Belarus, alright? So good luck extraditing his fat Russian ass. [Walter is about to leave when Saul stops him] Wait, wait! He's a hacker-cracker extraordinaire. This guy can hijack random desktops all around the world, turn them into zombies that do his bidding. For instance, he can make it so 20, or 30,000 little donations come in from all over the U.S. and Canada. Ten, 20, 50 bucks a pop, all paid in full—nice and neat, untraceable—from the good-hearted people of the world to Mr. Walter H. White, cancer saint. Heh. I'm getting a warm and fuzzy feeling just thinking about it."
Jane,Do right by Jesse tonight or I will burn you to the ground.
Walter,Nice job wearing the pants.
Jane,Do you know what this is?
Jesse,It's a whole lot of cheddar.
Jane,This is freedom! This is saying I can go anywhere I want! I can be anybody! Who do you want to be? Where do you want to go? South America? Europe? Australia?
Jesse,Is New Zealand part of Australia?
Jane,New Zealand is New Zealand!
Jesse,"Right on. New Zealand, that's where they, uh, that's where they made Lord of the Rings! I say we just move there, yo! I mean, you could do your art, right? Like, you could like paint the local castles and shit, and I can be a bush pilot!"
Jesse,"What's with you, yo, huh?! 'Cause I will seriously bust you up!"
Donald Margolis,You miserable little smack-head! Get the hell out!
Jesse,"Hey, I pay my rent, bitch! Alright?! I got civil rights!"
Mike,"[to Jesse] Saul Goodman sent me. [pause] Come on, inside. Latch the door. Where is she?"
Mike,"Any other drugs in the house? Think hard. Your freedom depends on it. [Jesse shakes his head] What about guns? You got any guns in the house? [Jesse shakes his head again] Here's your story: You woke up. You found her. That's all you know. Say it. Say it, please. ""I woke up. I found her. That's all I know."" [Jesse begins to cry; Mike slaps him] Say it. ""I woke up. I found her. That's all I know."""
Jesse,I woke up. I found her. That's all I know.
Mike,Again.
Jesse,I woke up. I found her. That's all I know.
Mike,Again. Again.
Jesse,[in rushing tone] I woke up. I found her. That's all I know. I woke up. I found her. That's all I know.
Mike,"Once you call it in, the people who show up will be with the Office of Medical Investigations. That's primarily who you'll talk to. Police officers may arrive, they may not. Depends on how busy a morning they're having. Typically OD's are not a high priority call. There's nothing here to incriminate you, so I'd be amazed if you got placed under arrest. However, if you do, you say nothing. You tell them you just want your lawyer and you call Saul Goodman. And do I need to state the obvious? I was not here. You put on a long sleeve shirt and cover those track marks on your arm. [hands Jesse a phone] Count down from twenty and then you dial. [zips up the bag with Jesse's money] Hang tough. You're in the home stretch."
Walter,"Jesse. Jesse! Look at me, son. Wake up. Wake up."
Jesse,"Hey. I ain't got nothing for you, man. It's all gone."
Walter,"Jesse, wake up. Just- (Jesse starts thrashing) Jesse! Jesse, it's me! It's Walt! It's Walt."
Jesse,Yeah...
Walter,"Come on, let's get out of here."
Jesse,"No, nonono, no, nono, no. I'm good."
Walter,"Come on. Help me out, now."
Jesse,"I'm good. I'm good - right here, man. Right here."
Walter,"Listen, Jesse. You are not good right here. You are not good at all, you hear? Now, you just put your arms around me. Come on. You're gonna stand up, and we're gonna- we're gonna walk out of here. Okay? (Jesse does so) We're gonna take you someplace nice and safe. That's it. Now, let's go, come on. Here we go."
Jesse,I killed her.
Walter,What?
Jesse,"I killed her, it was me! I killed her, man, I killed her!"
Walter,"Jesse, look at me. Look at me. You didn't kill anybody."
Jesse,I loved her... I loved her more than anything.
Walter,"Look, Jesse, lingering on things doesn't help, believe me. Just... try and focus on getting better, okay?"
Jesse,I deserve this.
Walter,What?
Jesse,"What you said in the desert, I get it. What you meant. I deserve whatever happens."
Karen,"Judging from the things you and other folks have written about him, your dad must be quite a guy."
Karen,"You don't want to lose him, do you, Walter?"
Karen,"He's a good man, isn't he?"
Karen,Would you say he's your hero?
Walter,What are you doing?
Skyler,I'm going to Hank and Marie's for the weekend.
Walter,Since when?
Skyler,I'm taking the baby with me. Marie will pick up Walter Jr. from school. You will have the house to yourself for two days. I want you to pack your things and leave.
Walter,Why would I do that?
Skyler,Hank has offered to help since you shouldn't be doing any heavy lifting.
Walter,Skyler...
Skyler,I want you gone by Monday morning. I want...I want you gone.
Walter,"Okay, can you at least tell me why?"
Skyler,"Because you're a liar, Walt. Two cell phones after all."
Walter,What?
Skyler,"Right before your surgery, I asked if you had packed your cell phone and you said, ""Which one?"""
Walter,"When? Skyler, I was medicated. I mean, I could have said the world was flat."
Skyler,You know what I think? I think you accidentally told the truth.
Walter,"Honey, we have been over this. Asked and answered, right? There–"
Skyler,"But then it got me thinking again about the all the strange behavior. Not the least of which was the disappearance. Out of my mind with worry, calling hospitals, checking the morgue. Your fugue state? I had to believe that, didn't I? I had to find a way. I mean, who would lie about such a thing?"
Walter,"You tell me, Skyler. You tell me exactly what it is you think I'm lying about. What, an affair? I'm having an affair? Is that what you think?"
Skyler,"That's what I was thinking, yeah. For the last few weeks."
Walter,With whom? Who am I having an affair with?
Skyler,"Well, my guess was Gretchen Schwartz. Something was going on between you. I just knew."
Walter,"Jesus, Skyler. Get me a Bible to swear on, if that's what it takes. I am not having an affair with Gretchen!"
Skyler,"Oh, I know. I know you're not. 'Cause I asked her. It really took me forever to get in touch with her. She was ducking my calls for weeks. So I finally left a message, ""What exactly is going on between you and my husband?"" I thought that'd get her attention and it did. So she called me back and she finally told me. The money? For your treatment? Gretchen and Elliott didn't give you a dime. They paid for nothing. You refused every offer they made you, but that didn't make sense because I checked with Delcavoli in the hospital and, not including your surgery, we're nearly paid up. Over $100,000. Out of where? Out of thin air? But then, I called your mother. Yeah. Thanks for that, too. But I thought, y'know, maybe she has some money that I don't know about? Maybe she contributed? It's possible. It turns out that not only is the money not your mother, she didn't even know that you have cancer. You never went to see her. I dropped you at the airport, I picked you up, you were gone for four days, and yet she swears that you were never there. Lies on top of lies on top of lies."
Walter,Skyler...
Walter,"Skyler...Skyler, don't do this, please. I...I...Skyler, please don't go. [Skyler tries to close the car door, but Walter stops her] If I tell you the truth, will you stay? Stay and I will tell you everything."
Skyler,"Whatever it is, I'm afraid to know."
Hank,"Whoa, whoa, no heavy lifting. I got it."
Walter,"No, it's okay."
Hank,"I got it. Jesus, what you got in there – cinder blocks?"
Walter,Half a million in cash.
Hank,[laughing] That's the spirit.
Walter,"I guess what I would want to say is to look on the bright side. First of all, nobody on the ground was killed, and that– I mean, an incident like this over a populated urban center– that right there, that's–that's just gotta be some minor miracle, so... Plus, neither plane was full. You know, the–the 737 was–was what? Maybe two-thirds full, I believe? Right, yes? Or maybe even three-quarters full. On any rate, what you're left with casualty-wise is just the 50th-worst air disaster. Actually, tied for 50th. There are, in truth, 53 crashes throughout history that are just as bad or worse. Tenerife? Has–has anybody–anybody heard of Tenerife? No? In 1977, two fully-loaded 747s crashed into each other on Tenerife. Does anybody know how big a 747 is? I mean, it's way bigger than a 737, and we're talking about two of them. Nearly 600 people died from Tenerife. But do any of you even remember it at all? Any of you? I doubt it. You know why? It's because people move on. They just move on. And we will, too. We will move on and we will get past this. Because that is what human beings do, we survive. And, uh... we survive, and we–we overcome. We survive. We survive, and..."
Walter,"I love you, Skyler. And I would do anything for you. Would you even consider, I mean...Jesus! You come in here and you wave these papers in my face, when there's a whole other entire side to this thing. There's your side and there's my side, and you haven't heard my side yet. You haven't heard any of it all."
Skyler,You're a drug dealer.
Walter,No. How...What?
Skyler,"Yeah. How else could you possibly make that kind of money? Marijuana. That Pinkman kid. [Walter is silent] No? Oh my God, Walt. Cocaine?"
Walter,"...It's methamphetamine. But I'm a manufacturer, I'm not a dealer."
Skyler,[shocked] Oh...
Walter,"Per se. I...it doesn't mean... [Skyler gets up and heads to the door] No, Skyler! Listen to me, Skyler! [Walter grabs her arm] Listen."
Skyler,No!
Walter,"There are a lot of angles to this, okay? It's complicated, all right? So please listen. Please, let's just sit back down and we'll talk it through."
Skyler,"I'm going to make you a deal, Walt. I won't tell Hank and I won't tell your children or anybody else. Nobody will hear it from me, but only if you grant me this divorce and stay out of our lives."
Walter,"No, Skyler..."
Skyler,I mean it. Now let me the hell out of here before I throw up.
Jesse,"You either run from things or you face them, Mr. White."
Walter,Now what exactly does that mean?
Jesse,I learned it in rehab. It's all about accepting who you really are. I accept who I am.
Walter,And who are you?
Jesse,I'm the bad guy.
Gus,I have an offer that I think would be of interest to you.
Walter,"I, uh, actually am not here to... I'm here because I owe you the courtesy and respect to tell you this personally. I'm done. It has nothing to do with you personally. I find you extraordinarily professional, and I appreciate the way you do business. I'm just... making a change in my life is what it is, and I'm- I'm at something of a crossroads... and it's brought me to a realization: I am not a criminal. No offense to any people who are, but... this is not me."
Gus,"I'd like you to hear my offer, notwithstanding."
Walter,"It won't change my mind, I'm sorry."
Gus,"Three million dollars for three months of your time. Three months, then out."
Walter,...Three million?
Gus,May I take this as a yes?
Walter,(sighs) I have money. I have more money than I know how to spend. What I don't have is my family. The answer is still no.
Gus,...Enjoy your meal.
Walter,"What? What, you don't believe me?"
Officer Cavanaugh,"Sir, regardless of how that windshield was damaged, this car is unsafe to drive in this condition. Stay in the car, please."
Walter,Wait. Wait just a minute. Just one minute.
Officer Cavanaugh,"Sir, I asked you to stay in the vehicle."
Walter,"No, no, no. I can get out of my own damn car."
Officer Cavanaugh,"Sir, listen-- No, no, no."
Walter,You listen to me. It's time for you to listen to me.
Officer Cavanaugh,"Sir, what you need to do is take a deep breath, calm down--"
Walter,This is America.
Officer Cavanaugh,--and get back in that car now.
Walter,I have rights. Do you understand that? At least have the common decency to hear me out.
Officer Cavanaugh,I need you to step back right now.
Walter,Did you even hear what I said?
Officer Cavanaugh,"Sir, calm down."
Walter,Now you're giving me a ticket? I told you that my house was in the debris field. Do you have the remotest inkling of what that means?
Officer Cavanaugh,"Sir, calm down."
Walter,Hellfire rained down on my house!
Officer Cavanaugh,"Sir, I need you to step back now."
Walter,Where my children sleep!
Walter,God...It's a disaster.
Saul,"It is not a disaster. It's not a disaster, alright? She's not going to the cops, she's not telling a living soul. You wanna know why? One word: blowback. If she blabs, it'll be a disaster – for her. That DEA brother-in-law? Screwed! You were right under his nose. He'll be lucky if they let him bust glue sniffers at the hobby shop. The kids? Paging Dr. Phil! ""My daddy's a drug dealer and my mommy turned him in!"" And the house? Gone! The feds will come in and RICO her and the kids out on the street. Good luck arguing with them on that, noooo. It's not gonna happen. She's bluffing. And she knows it."
 Pinkman,"You're not that lawyer from late-night television, are you?"
Saul,"[points] ""Better Call Saul!"" [laughs] I get it all the time!"
Gardiner,We're here to discuss the sale of the property at 9809 Margo.
Saul,"I get it. [sits down] Flat-fee clients, am I right? [to the Pinkmans] Well, folks, today's your lucky day! I represent a client who shall remain nameless–however, for our purposes, you might just as well visualize a large bag of money. This individual wants to buy your house, today, for cash."
 Pinkman,Cash?
Saul,"Cash! I know, in this economy? In fact, the money is already burnin' a hole in my client's account. You can ask Mr. Gardiner; I've shown him all the pertinent financials."
Gardiner,It's the only reason we're sitting here.
Saul,"...Fair enough. We, uh, get a few papers signed and notarized and we can take care of this right now. [to the Pinkmans] In fact, I could wire you your money this very afternoon! There's just one little hair in the soup, ah... the price."
Gardiner,[beat] We feel 875 is very fair.
 Pinkman,"But I suppose there's always a little, uh... wiggle room?"
Saul,"Well, uh... why don't you wiggle us on down to 400, and you got yourselves a deal."
 Pinkman,"400,000? What is that, a joke?"
Saul,"No, that's my offer."
 Pinkman,That's less than half price!
 Pinkman,We put almost that much into the renovations alone.
Gardiner,Why don't you cut the clown act and tell us what you're willing to come up to?
Saul,"400,000. That's my final offer."
 Pinkman,"Well, this was a waste of time."
 Pinkman,"Ridiculous! You gotta be kidding me! Come on, honey."
Gardiner,How could you possibly imagine that we would entertain this?
Saul,"I don't know. I just thought some allowance was in order once I heard about the meth lab. [everyone stops] The one that used to be in the basement. I looked over your signed disclosure statements, and I don't see any mention of a meth lab. [flips through them] Nope... oh, you got your termite inspection! That's good... but no meth lab. Now, some would call that fraud in service of concealing a felony. I, myself, am more open-minded, but... it is tricky. And don't get me wrong: I applaud your cojones! I mean, good try of sneaking a meth-contaminated property past the buyer. I mean... tsk, could have been a good deal for you. Too bad. Now, I could file a suit and encumber this property indefinitely, or I could start some criminal proceedings, but I don't think any of us want that, now do we? How about it, counselor? Do you concur?"
Walter,"Skyler...I mean, what kind of example do we wanna set here, right? I mean, can't we at least just sit down and eat a piece of pizza together? Just hash things out like adults?"
Skyler,We have discussed everything we need to discuss. I thought I made myself very clear.
Walter,...I've got dipping sticks.
 Pinkman,"Breaking even is not so bad. In this economy, a lot of people would kill to break even."
 Pinkman,Poor Jake had his heart set on going to Space Camp.
 Pinkman,Oh no.
 Pinkman,"God, this is all we need."
Jesse,Mom. Dad. How's it going?
 Pinkman,"Jesse, it's really not a good time."
 Pinkman,"Jesse, the house has been sold. The new owners are expected at any moment. Where do you think you're going?"
Jesse,[jingles the key] Inside. I bought the place.
Juan,Don Salamanca had a nephew named Tuco.
Gus,"Yes, I knew of him."
Juan,"Then perhaps you know Don Salamanca mentored him in the business. Thought of Tuco as a son. When Don Salamanca was no longer able, Tuco took over for his uncle. He was a key man in our organization north of the border. He was loyal. This ""Heisenberg"" – Walter White – he was one of Tuco's local suppliers. Until he betrayed Tuco. So now you see...blood must be repaid by blood. Tuco's cousins here...they have the right to exact vengeance. The Salamanca family, the cartel...everyone stands shoulder to shoulder on this."
Juan,"I don't tell you how to fry your chickens, Gustavo. You should really leave matters of my organization's politics to me."
Gus,Do I not run my own territory?
Juan,"Of course you do. And I will advise them to be patient. But I recommend you finish your business with the man quickly. Or you risk losing the good graces of the cartel. That would not be wise. And those boys inside, I cannot guarantee that they will listen. They are...not like you and I."
Skyler,"Walt has lung cancer. His treatment bought him some time, but the doctors, they all say that sooner or later... I can't see why I should lay all this on my family when things may...resolve themselves on their own without anyone else knowing."
Walter,"I've done a terrible thing. But I've done it for a good reason. I did it for us. That [points to the duffel bag of money] is college tuition for Walter Jr. And Holly, eighteen years down the road. And it's health insurance for you and the kids. For Jr.'s physical therapy. His SAT tutor. It's money for groceries, gas, for birthdays and graduation parties. Skyler, that money is for this roof over your head. The mortgage that you are not going to be able to afford on a part-time bookkeeper's salary when I'm gone."
Skyler,"Walt, I–"
Walter,"Please. Please. This money, I didn't steal it. It doesn't belong to anyone else. I earned it. The things I've...done to earn it...they...the things I've had to do...I've got to live with them. Skyler, all that I've done, all the sacrifices that I've made for this family, all of it, will be for nothing if you don't accept what I've earned. Please. I'll be here when you get home from work. You can give me your answer then."
Skyler,I fucked Ted.
Walter,"You think this will get me to move out? You can screw Ted, you can screw the butcher, the mailman, whoever you want! Screw all! I'm not going anywhere."
Skyler,Suit yourself.
Saul,Is this a good or bad thing?
Walter,Suit myself...You want me to suit myself?! I'll suit myself to his face!
Saul,It's a bad thing.
Walter,How did you know?
Saul,I'm sorry?
Walter,About Skyler. About where to find me just now. How did you know?
Saul,"That's just my meticulousness. Don't bog down in detail, Walt. The lesson here–"
Walter,Did you bug my house?
Saul,"...Yeah. But I didn't know it was your house, did I? You moved out. Besides, you basically told me to."
Walter,I told you to?
Saul,"You strongly hinted that I should. You were worried about your wife, remember? You were concerned that she might say something to the police."
Walter,"No, no, that's not true. When the hell did I say that?"
Saul,"Let's not get lost in the who, whats and whens. The point is we did our due diligence and she didn't talk. She kept quiet, she stood by you, Walt. Which, if you ask me, is the ironical silver lining here. I mean, on the one hand, sure, she snuck off the reservation to get some dirty damp and deep. On the other–"
Walter,YOU'RE FIRED! YOU'RE DONE!
Saul,"Good! ""Oh boo-hoo, I won't cook meth anymore!"" You're a crybaby! Who needs you?! Hey, I'm unplugging the website, so no more money laundering! How do you like that?!"
Walter,I want those bugs out of my house today! I want them out now!
Saul,"You just bought a $300 suit, psycho!"
Hank,"[interrogating a meth head] So...let me get this straight, Russell. You got this meth from ""some dude"" wearing khaki pants, who – you're 80% sure – had a mustache. And that's it? That's your brain working at full capacity?"
Walter,"This is very shoddy work, Pinkman. I'm actually embarrassed for you."
Jesse,What? No way. I gave out samples and everyone said it was the bomb.
Walter,"Oh, they said it was the bomb? And who are they, I wonder? A bunch of meth heads?"
Jesse,"Yeah, and they should know, right?"
Walter,"Yeah, well, sorry. I can't help you."
Jesse,"Fine, asswad. You know what? I'll contact the guy myself."
Walter,"Oh yeah? Well, good luck because my guy's a pro and he doesn't deal with junkies."
Jesse,"Hey, you know what? Eat me!"
Walter,"Anytime, loser!"
Mike,"The good news is for stage three cancer, the guy's doing well. Physically. Mentally, the guy's a disaster. He's gone off the rails over this thing with his wife. My opinion: he's not coming back. Not on his own. Your friends were at his place again, by the way. They drew something on the street outside his house. The Scythe."
Gus,Animals... Does the lawyer know?
Mike,Should he?
Gus,No.
Mike,"If you want this guy to produce again, why not just tell him? You're the only thing that stands between him and an axe to the head."
Gus,"I do not believe fear to be an effective motivator. I want investment. For now, I'm simply interested in time frame. He will live for the foreseeable future, yes?"
Mike,"Hmm, foreseeable. Couple of years at least, barring acts of God or men with axes."
Skinny Pete,"That was... [vomits] ...awesome, bro later..."
Walter,Waffle House...?
Messy,Waffle House
Gus,I am told his product was more or less consistent with the quality I come to expect.
Walter,"More or less? More or less, really? Wow. Boy this... Talk about setting the bar low. Except you don't do that, set the bar low. Therefore, what conclusion am I left to draw? That you believe I have some proprietary kind of selfishness about my own formula? Some sort of overweening pride that you think simply overwhelms me, clouds my judgment?"
Gus,But it doesn't?
Walter,Absolutely not. I simply respect the chemistry. The chemistry must be respected.
Walter,I have made a series of very bad decisions and I cannot make another one.
Gus,Why did you make these decisions?
Walter,For the good of my family.
Gus,"Then they weren't bad decisions. What does a man do, Walter? A man provides for his family."
Walter,This cost me my family.
Gus,"When you have children, you always have family. They will always be your priority, your responsibility, and a man, a man provides. And he does it even when he's not appreciated or respected or even loved. He simply bears up and he does it. Because he's a man, Walter."
Saul,Clearly a mistake was made on the part of our mutual associate when he paid you half of Jesse's earnings. He must not have realized that you two had come to a parting of the ways.
Walter,Take it. It belongs to you.
Jesse,You're damn right it belongs to me.
Saul,I knew I could count on you boys to play nice! That's...that almost brings a tear to my eye.
Walter,Enjoy it. Spend it in good health. That is the last money you'll ever earn in this business.
Jesse,What the hell is that supposed to mean?
Walter,"I hate to break it you, Jesse, but our ""mutual associate"" was only using you to get to me."
Jesse,What are you talking about?
Walter,"You see, he needs someone with expertise. Someone who knows what he's doing. In other words, he needs me."
Jesse,You're telling me you're cooking again?
Walter,"Yeah, how should I put this? I'm in...you're out."
Saul,"Whoa, Walt, hold on there! What was the offer, if I may ask?"
Walter,"It's, uh, $3 million for three months of my time."
